movieId,title,genres,keywords
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,animation|kids and family|pixar animation|computer animation|toys
2,Jumanji (1995),Adventure|Children|Fantasy,special effects|kids|fantasy|children|adventure
3,Grumpier Old Men (1995),Comedy|Romance,original|comedy|sequels|good sequel|sequel
4,Waiting to Exhale (1995),Comedy|Drama|Romance,romantic|girlie movie|divorce|chick flick|women
5,Father of the Bride Part II (1995),Comedy,pregnancy|sequels|father daughter relationship|good sequel|sequel
6,Heat (1995),Action|Crime|Thriller,action|great acting|bank robbery|heist|crime
7,Sabrina (1995),Comedy|Romance,love|romance|romantic comedy|romantic|remake
8,Tom and Huck (1995),Adventure|Children,based on book|literary adaptation|adaptation|adapted from:book|based on a book
9,Sudden Death (1995),Action,fight scenes|action packed|lone hero|good action|action
10,GoldenEye (1995),Action|Adventure|Thriller,franchise|action|bond|007|007 (series)
11,"American President, The (1995)",Comedy|Drama|Romance,love story|political|world politics|politics|president
12,Dracula: Dead and Loving It (1995),Comedy|Horror,farce|hilarious|comedy|parody|spoof
13,Balto (1995),Adventure|Animation|Children,dogs|talking animals|animated|dog|animation
14,Nixon (1995),Drama,politics|biopic|biographical|world politics|president
15,Cutthroat Island (1995),Action|Adventure|Romance,adventure|action|pirates|swashbuckler|treasure hunt
16,Casino (1995),Crime|Drama,gangster|casino|mob|mafia|organized crime
17,Sense and Sensibility (1995),Drama|Romance,romantic|period piece|costume drama|adapted from:book|18th century
18,Four Rooms (1995),Comedy,multiple storylines|tarantino|storytelling|off-beat comedy|hotel
19,Ace Ventura: When Nature Calls (1995),Comedy,detective|dumb|comedy|silly fun|goofy
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,new york|action packed|good action|chase|action
21,Get Shorty (1995),Comedy|Crime|Thriller,original|great movie|gangsters|gangster|mob
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,murder mystery|suspense|detective|suspenseful|serial killer
23,Assassins (1995),Action|Crime|Thriller,assassination|action|assassins|assassin|hit men
24,Powder (1995),Drama|Sci-Fi,emotional|mentor|male nudity|humanity|touching
25,Leaving Las Vegas (1995),Drama|Romance,oscar (best actress)|alcoholism|melancholic|loneliness|drinking
26,Othello (1995),Drama,betrayal|adaptation|great acting|tragedy|shakespeare
27,Now and Then (1995),Children|Drama,adolescence|unlikely friendships|girlie movie|friendship|coming of age
28,Persuasion (1995),Drama|Romance,literature|adaptation|jane austen|18th century|adapted from:book
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,weird|surreal|visual|visually stunning|dark fantasy
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,stunning|1930s|gangster|beautifully filmed|cinematography
31,Dangerous Minds (1995),Drama,inspirational|mentor|high school|good soundtrack|teacher
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,sci fi|science fiction|time loop|future|dystopic future
33,Wings of Courage (1995),Adventure|Romance|IMAX,mentor|good|aviation|original|70mm
34,Babe (1995),Children|Drama,children|pigs|animal movie|animals|talking animals
35,Carrington (1995),Drama|Romance,artist|england|based on a book|love|relationships
36,Dead Man Walking (1995),Crime|Drama,redemption|crime|oscar (best actress)|death|death penalty
37,Across the Sea of Time (1995),Documentary|IMAX,new york city|technology|visual|3d|storytelling
38,It Takes Two (1995),Children|Comedy,girlie movie|switching places|cute!|cute|single father
